title,description,agency,eligibility,amount,deadline,url
Supplemental Opportunity for SBIR/STTR Memberships in I/UCRCs,Supplemental Opportunity for SBIR/STTR Memberships in I/UCRCs,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-09-5761
Vegetation Interns,Vegetation Interns,National Park Service,,,,https://www.grants.gov/search-results-detail/P12AC10113
Making America Healthy Again by Addressing Dementia Disparities,Making America Healthy Again by Addressing Dementia Disparities,Office of the Assistant Secretary for Health,,,,https://www.grants.gov/search-results-detail/MP-CPI-25-001
Coordinating Center for Language Access Services,Coordinating Center for Language Access Services,Office of the Assistant Secretary for Health,,,,https://www.grants.gov/search-results-detail/MP-CPI-25-003
Promoting Access with a Language Services Assistance Symbol,Promoting Access with a Language Services Assistance Symbol,Office of the Assistant Secretary for Health,,,,https://www.grants.gov/search-results-detail/MP-CPI-25-004
FY2025 NAGPRA Repatriation Grants,FY2025 NAGPRA Repatriation Grants,National Park Service,,,05/08/2026,https://www.grants.gov/search-results-detail/P25AS00474
Feasibility Clinical Trials of Mind and Body Interventions for NCCIH High Priority Research Topics (R34 Clinical Trial Required),Feasibility Clinical Trials of Mind and Body Interventions for NCCIH High Priority Research Topics (R34 Clinical Trial Required),National Institutes of Health,,,11/17/2026,https://www.grants.gov/search-results-detail/PAR-25-274
Data Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Mind and Body Interventions (Collaborative U24 Clinical Trial Required),Data Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Mind and Body Interventions (Collaborative U24 Clinical Trial Required),National Institutes of Health,,,07/14/2026,https://www.grants.gov/search-results-detail/PAR-24-276
Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required),Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required),National Institutes of Health,,,11/17/2026,https://www.grants.gov/search-results-detail/PAR-25-268
Limited Competition: Small Grant Program for the NCATS Clinical and Translational Science Award (CTSA) Program (R03 Clinical Trial Optional),Limited Competition: Small Grant Program for the NCATS Clinical and Translational Science Award (CTSA) Program (R03 Clinical Trial Optional),National Institutes of Health,,,10/19/2026,https://www.grants.gov/search-results-detail/PAR-25-155
Understanding Expectancies in Cancer Symptom Management (R01 Clinical Trial Required),Understanding Expectancies in Cancer Symptom Management (R01 Clinical Trial Required),National Institutes of Health,,,05/07/2026,https://www.grants.gov/search-results-detail/PAR-25-254
Dissemination and Implementation Research in Health (R01 Clinical Trial Optional),Dissemination and Implementation Research in Health (R01 Clinical Trial Optional),National Institutes of Health,,,01/07/2028,https://www.grants.gov/search-results-detail/PAR-25-144
Dissemination and Implementation Research in Health (R21 Clinical Trial Optional),Dissemination and Implementation Research in Health (R21 Clinical Trial Optional),National Institutes of Health,,,01/07/2028,https://www.grants.gov/search-results-detail/PAR-25-143
Dissemination and Implementation Research in Health (R03 Clinical Trial Not Allowed),Dissemination and Implementation Research in Health (R03 Clinical Trial Not Allowed),National Institutes of Health,,,01/07/2028,https://www.grants.gov/search-results-detail/PAR-25-233
Population Approaches to Reducing Alcohol-related Cancer Risk (R01 Clinical Trial Optional),Population Approaches to Reducing Alcohol-related Cancer Risk (R01 Clinical Trial Optional),National Institutes of Health,,,01/07/2027,https://www.grants.gov/search-results-detail/PAR-25-221
HIV Prevention and Alcohol (R01 Clinical Trials Optional),HIV Prevention and Alcohol (R01 Clinical Trials Optional),National Institutes of Health,,,05/07/2026,https://www.grants.gov/search-results-detail/PAS-25-208
National Cancer Institute Youth Enjoy Science Research Education Program (R25 Clinical Trial Not Allowed),National Cancer Institute Youth Enjoy Science Research Education Program (R25 Clinical Trial Not Allowed),National Institutes of Health,,,09/28/2026,https://www.grants.gov/search-results-detail/RFA-CA-24-026
INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Predoctoral to Postdoctoral Fellow Transition Award (F99/K00 Clinical Trial Not Allowed),INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Predoctoral to Postdoctoral Fellow Transition Award (F99/K00 Clinical Trial Not Allowed),National Institutes of Health,,,07/01/2026,https://www.grants.gov/search-results-detail/RFA-OD-24-007
NEI Institutional Mentored Physician Scientist Award (K12 Clinical Trial Optional),NEI Institutional Mentored Physician Scientist Award (K12 Clinical Trial Optional),National Institutes of Health,,,06/09/2026,https://www.grants.gov/search-results-detail/PAR-23-197
National Institute of General Medical Sciences Predoctoral Basic Biomedical Sciences Research Training Program (T32),National Institute of General Medical Sciences Predoctoral Basic Biomedical Sciences Research Training Program (T32),National Institutes of Health,,,09/25/2026,https://www.grants.gov/search-results-detail/PAR-23-228
Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Required),Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Required),National Institutes of Health,,,05/07/2027,https://www.grants.gov/search-results-detail/PA-24-175
Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Not Allowed),Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Not Allowed),National Institutes of Health,,,01/07/2028,https://www.grants.gov/search-results-detail/PAR-25-286
BRAIN Initiative: Production and distribution facilities for brain cell type-specific access reagents (U24 Clinical Trial Not Allowed),BRAIN Initiative: Production and distribution facilities for brain cell type-specific access reagents (U24 Clinical Trial Not Allowed),National Institutes of Health,,,07/01/2026,https://www.grants.gov/search-results-detail/RFA-MH-25-105
Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional),Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional),National Institutes of Health,,,08/11/2027,https://www.grants.gov/search-results-detail/PAR-25-101
Substance Use/Substance Use Disorder Dissertation Research Award (R36 Clinical Trials Not Allowed),Substance Use/Substance Use Disorder Dissertation Research Award (R36 Clinical Trials Not Allowed),National Institutes of Health,,,09/07/2026,https://www.grants.gov/search-results-detail/PAR-25-347
U.S. Embassy Buenos Aires PAS Strategic Programs,U.S. Embassy Buenos Aires PAS Strategic Programs,U.S. Mission to Argentina,,,,https://www.grants.gov/search-results-detail/PAS-AR200-FY25-05
Institutional Training Programs to Advance Translational Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (T32 Clinical Trial Not Allowed),Institutional Training Programs to Advance Translational Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (T32 Clinical Trial Not Allowed),National Institutes of Health,,,09/25/2026,https://www.grants.gov/search-results-detail/PAR-25-247
Developing Country Collaborations in Plant Genome Research (DCC-PGR) ,Developing Country Collaborations in Plant Genome Research (DCC-PGR) ,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/04-563
Southeast Region Flex Funds,Southeast Region Flex Funds,Region 4,,,,https://www.grants.gov/search-results-detail/FWS-R4-FLEXFUND
National Training Center for Title X and Teen Pregnancy Prevention (TPP),National Training Center for Title X and Teen Pregnancy Prevention (TPP),Office of the Assistant Secretary for Health,,,,https://www.grants.gov/search-results-detail/AH-TPS-25-001
National Training Center for Title X and Teen Pregnancy Prevention (TPP),National Training Center for Title X and Teen Pregnancy Prevention (TPP),Office of the Assistant Secretary for Health,,,,https://www.grants.gov/search-results-detail/PA-FPT-25-001
Pregnancy and Postpartum Hypertension Control Initiative,Pregnancy and Postpartum Hypertension Control Initiative,Office of the Assistant Secretary for Health,,,,https://www.grants.gov/search-results-detail/WH-AST-25-001
Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional),Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional),National Institutes of Health,,,05/08/2027,https://www.grants.gov/search-results-detail/PAR-25-317
BRAIN Initiative: Promoting Health for All Through BRAIN Technology Partnerships (R34 - Clinical Trials Not Allowed),BRAIN Initiative: Promoting Health for All Through BRAIN Technology Partnerships (R34 - Clinical Trials Not Allowed),National Institutes of Health,,,06/17/2026,https://www.grants.gov/search-results-detail/RFA-NS-25-016
"FY 2024 &ndash; 2026 Broad Agency Announcement (BAA), National Marine Fisheries Service","FY 2024 &ndash; 2026 Broad Agency Announcement (BAA), National Marine Fisheries Service",DOC NOAA - ERA Production,,,09/30/2026,https://www.grants.gov/search-results-detail/NOAA-NMFS-FHQ-2024-27611
Limited Competition: High Impact Specialized Innovation Programs in Clinical and Translational Science  (RC2 Clinical Trials Optional),Limited Competition: High Impact Specialized Innovation Programs in Clinical and Translational Science  (RC2 Clinical Trials Optional),National Institutes of Health,,,09/28/2026,https://www.grants.gov/search-results-detail/PAR-25-156
Alumni Engagement Innovation Fund Program FY 2025,Alumni Engagement Innovation Fund Program FY 2025,U.S. Mission to North Macedonia,,,,https://www.grants.gov/search-results-detail/SMK800-25-PAS001
Facilitating Research at Predominantly Undergraduate Institutions:,Facilitating Research at Predominantly Undergraduate Institutions:,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/14-579
U.S. Embassy Cairo Public Diplomacy Section  Annual Program Statement,U.S. Embassy Cairo Public Diplomacy Section  Annual Program Statement,U.S. Mission to Egypt,,,,https://www.grants.gov/search-results-detail/PDS-CAIRO-001-FY25
Broad Agency Announcement for Fundamental AI Research,Broad Agency Announcement for Fundamental AI Research,Army Contracting Command Rock Island,,,,https://www.grants.gov/search-results-detail/W519TC-25-S-0001
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support,University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support,Idaho Field Office,,,10/14/2030,https://www.grants.gov/search-results-detail/DE-FOA-0002265
Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Not Allowed),Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Not Allowed),National Institutes of Health,,,01/07/2028,https://www.grants.gov/search-results-detail/PAR-25-298
"Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)","Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)",National Institutes of Health,,,11/16/2026,https://www.grants.gov/search-results-detail/PAR-25-370
"Screening, Brief Intervention and Referral to Treatment or Prevention (SBIRT/P) for alcohol, tobacco, and other drugs (ATOD) use and misuse in adult populations that experience health disparities (R01, Clinical Trial Required)","Screening, Brief Intervention and Referral to Treatment or Prevention (SBIRT/P) for alcohol, tobacco, and other drugs (ATOD) use and misuse in adult populations that experience health disparities (R01, Clinical Trial Required)",National Institutes of Health,,,05/07/2027,https://www.grants.gov/search-results-detail/PAR-26-001
"Interventions to expand cancer screening and preventive services to ADVANCE health in populations that experience health disparities (R01, Clinical Trial Required)","Interventions to expand cancer screening and preventive services to ADVANCE health in populations that experience health disparities (R01, Clinical Trial Required)",National Institutes of Health,,,01/07/2027,https://www.grants.gov/search-results-detail/PAR-25-098
NIDCD's Mentored Research Education Pathway for Otolaryngology Residents and Medical Students (R25 - Clinical Trial Not Allowed),NIDCD's Mentored Research Education Pathway for Otolaryngology Residents and Medical Students (R25 - Clinical Trial Not Allowed),National Institutes of Health,,,09/29/2026,https://www.grants.gov/search-results-detail/PAR-24-127
Strategy to Deliver Evidence-Based Falls Prevention Programs to Older Adults with Behavioral Health and/or Chronic Conditions,Strategy to Deliver Evidence-Based Falls Prevention Programs to Older Adults with Behavioral Health and/or Chronic Conditions,Administration for Community Living,,,,https://www.grants.gov/search-results-detail/HHS-2025-ACL-AOA-FPSG-0035
Air Delivered Effects,Air Delivered Effects,Munitions Directorate,,,03/21/2027,https://www.grants.gov/search-results-detail/FA8651-22-S-0001
Annual Program Statement 2025,Annual Program Statement 2025,U.S. Mission to South Africa,,,,https://www.grants.gov/search-results-detail/PAS-ZAF-FY25-02
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional),Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional),National Institutes of Health,,,05/07/2026,https://www.grants.gov/search-results-detail/PAR-25-110
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional),Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional),National Institutes of Health,,,05/07/2026,https://www.grants.gov/search-results-detail/PAR-25-111
Omics Phenotypes Related to Down Syndrome for the INCLUDE Project (X01 Clinical Trial Not Allowed),Omics Phenotypes Related to Down Syndrome for the INCLUDE Project (X01 Clinical Trial Not Allowed),National Institutes of Health,,,03/13/2026,https://www.grants.gov/search-results-detail/PAR-24-081
Medical Scientist Training Program (MSTP) (T32),Medical Scientist Training Program (MSTP) (T32),National Institutes of Health,,,01/25/2027,https://www.grants.gov/search-results-detail/PAR-24-128
NLM Information Resource Grants to Reduce Health Disparities and Promote Health for All (G08 Clinical Trial Not Allowed),NLM Information Resource Grants to Reduce Health Disparities and Promote Health for All (G08 Clinical Trial Not Allowed),National Institutes of Health,,,05/25/2026,https://www.grants.gov/search-results-detail/PAR-24-281
"Leveraging Network Infrastructure to Conduct Innovative Research for Women, Children, Pregnant and Lactating Women, and Persons with Disabilities (UG3/UH3 - Clinical Trial Optional)","Leveraging Network Infrastructure to Conduct Innovative Research for Women, Children, Pregnant and Lactating Women, and Persons with Disabilities (UG3/UH3 - Clinical Trial Optional)",National Institutes of Health,,,11/15/2027,https://www.grants.gov/search-results-detail/PAR-25-311
"Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)","Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)",National Institutes of Health,,,11/18/2026,https://www.grants.gov/search-results-detail/PAR-25-371
Research Experiences and/or Mentoring Networks through Research Education to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),Research Experiences and/or Mentoring Networks through Research Education to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),National Institutes of Health,,,09/29/2027,https://www.grants.gov/search-results-detail/PAR-25-020
"Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)","Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)",National Institutes of Health,,,11/18/2026,https://www.grants.gov/search-results-detail/PAR-25-369
Ocean Technology and Interdisciplinary Coordination,Ocean Technology and Interdisciplinary Coordination,U.S. National Science Foundation,,,02/16/2026,https://www.grants.gov/search-results-detail/PD-98-1680
Climate Program Office for FY 2012,Climate Program Office for FY 2012,Department of Commerce,,,,https://www.grants.gov/search-results-detail/NOAA-OAR-CPO-2012-2003041
"NSF-NIST Interaction in Basic and Applied Scientific Research in BIO, ENG &amp; MPS","NSF-NIST Interaction in Basic and Applied Scientific Research in BIO, ENG &amp; MPS",U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/11-066
Data Management,Data Management,National Park Service,,,,https://www.grants.gov/search-results-detail/P11AT80708
Research Techs,Research Techs,National Park Service,,,,https://www.grants.gov/search-results-detail/P11AT80752
"Coupling, Energetics, and Dynamics of Atmospheric Regions","Coupling, Energetics, and Dynamics of Atmospheric Regions",U.S. National Science Foundation,,,03/04/2026,https://www.grants.gov/search-results-detail/25-510
Sequestration Information,Sequestration Information,Headquarters,,,,https://www.grants.gov/search-results-detail/FOA-ALL
RFI - DOE Infrastructure Work Scope Development,RFI - DOE Infrastructure Work Scope Development,Idaho Field Office,,,,https://www.grants.gov/search-results-detail/DE-SOL-0008318
Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),National Institutes of Health,,,10/12/2121,https://www.grants.gov/search-results-detail/PAR-20-043
Developing Methodologies for Coastal Impacts Associated with Climate Variability,Developing Methodologies for Coastal Impacts Associated with Climate Variability,Geological Survey,,,,https://www.grants.gov/search-results-detail/USGS-15-FA-0426
Enhancing Interpretation at Ford's Theatre,Enhancing Interpretation at Ford's Theatre,National Park Service,,,,https://www.grants.gov/search-results-detail/P17AS00001
  Regional Resource Condition Assessment ,  Regional Resource Condition Assessment ,National Park Service,,,,https://www.grants.gov/search-results-detail/P16AS00333
National Capital Parks- East Shaw Neighborhood Research Interns,National Capital Parks- East Shaw Neighborhood Research Interns,National Park Service,,,,https://www.grants.gov/search-results-detail/P16AS00337
R Package Development and Data Certification for the National Park Service Units of the National Capital Region and the Northeast,R Package Development and Data Certification for the National Park Service Units of the National Capital Region and the Northeast,National Park Service,,,,https://www.grants.gov/search-results-detail/P16AS00322
Alaska Sea Grant State Fellowship Program,Alaska Sea Grant State Fellowship Program,Geological Survey,,,,https://www.grants.gov/search-results-detail/USGS-17-FA-0222
U.S. Mission Australia Annual Program Statement,U.S. Mission Australia Annual Program Statement,U.S. Mission to Australia,,,,https://www.grants.gov/search-results-detail/PAS-AUS-FY2017-1
NRL WIDE BROAD AGENCY ANNOUNCEMENT,NRL WIDE BROAD AGENCY ANNOUNCEMENT,Naval Research Laboratory,,,,https://www.grants.gov/search-results-detail/N00173-17-S-BA01
National Facilities,National Facilities,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-05-1743
RFI - DOE R,RFI - DOE R,Idaho Field Office,,,,https://www.grants.gov/search-results-detail/DE-SOL-0008246
Renewable Energy Systems and Energy Efficiency Improvements Program,Renewable Energy Systems and Energy Efficiency Improvements Program,Rural Business-Cooperative Service ,,,,https://www.grants.gov/search-results-detail/RDBCP-REAP-RES-EEI-2016
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC) ,EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC) ,National Aeronautics and Space Administration,,,,https://www.grants.gov/search-results-detail/NNH18ZHA002N-MUSIC
Operations Engineering,Operations Engineering,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-19-006Y
Engineering for Civil Infrastructure,Engineering for Civil Infrastructure,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-19-073Y
Engineering Design and Systems Engineering,Engineering Design and Systems Engineering,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-19-072Y
Biomechanics and Mechanobiology,Biomechanics and Mechanobiology,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-19-7479
Mechanics of Materials and Structures,Mechanics of Materials and Structures,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-19-1630
Advanced Manufacturing,Advanced Manufacturing,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-19-088Y
High-Risk Research in Biological Anthropology and Archaeology,High-Risk Research in Biological Anthropology and Archaeology,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/19-570
National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020 &ndash; 2024,National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020 &ndash; 2024,National Aeronautics and Space Administration,,,,https://www.grants.gov/search-results-detail/NNH19ZHA001C
Renewable Energy Systems and Energy Efficiency Improvements Program,Renewable Energy Systems and Energy Efficiency Improvements Program,Rural Business-Cooperative Service ,,,,https://www.grants.gov/search-results-detail/RDBCP-REAP-RES-EEI-2019
Small Grants Program,Small Grants Program,U.S. Mission to the United Nations,,,,https://www.grants.gov/search-results-detail/GVA-SGP-2020-001
Biosensing,Biosensing,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-20-7909
NIST MEP Competitive Awards Program,NIST MEP Competitive Awards Program,National Institute of Standards and Technology,,,,https://www.grants.gov/search-results-detail/2021-NIST-MEP-CAP-01
U.S. Embassy Praia Ambassador&rsquo;s Special Self-Help (SSH) Program,U.S. Embassy Praia Ambassador&rsquo;s Special Self-Help (SSH) Program,U.S. Mission to Cape Verde,,,,https://www.grants.gov/search-results-detail/AFPRA-20-04
Notice of Intent on Upcoming 2020 TIP Office Funding Opportunity,Notice of Intent on Upcoming 2020 TIP Office Funding Opportunity,Office to Monitor-Combat Trafficking in Persons,,,01/01/2099,https://www.grants.gov/search-results-detail/SFOP0007154
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,,,,https://www.grants.gov/search-results-detail/EDA-ATL-TA-ATRO-2021-2006846
AHRQ Patient-Centered Outcomes Research (PCOR) Mentored Research Scientist Career Development Award (K01),AHRQ Patient-Centered Outcomes Research (PCOR) Mentored Research Scientist Career Development Award (K01),Agency for Health Care Research and Quality,,,03/12/2026,https://www.grants.gov/search-results-detail/PA-22-049
"Dynamics, Control and Systems Diagnostics","Dynamics, Control and Systems Diagnostics",U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-22-7569
Division of Chemistry: Disciplinary Research Programs: No Deadline Pilot,Division of Chemistry: Disciplinary Research Programs: No Deadline Pilot,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/22-606
Large Research Projects for Combating Antibiotic-Resistant Bacteria (CARB) (R01),Large Research Projects for Combating Antibiotic-Resistant Bacteria (CARB) (R01),Agency for Health Care Research and Quality,,,10/30/2026,https://www.grants.gov/search-results-detail/PA-22-047
Notice of Intent:  Program to End Modern Slavery FY 2022,Notice of Intent:  Program to End Modern Slavery FY 2022,Office to Monitor-Combat Trafficking in Persons,,,01/01/2099,https://www.grants.gov/search-results-detail/SFOP0008547
Collaboration for Innovative Research on Aircraft Structure (CIRAS),Collaboration for Innovative Research on Aircraft Structure (CIRAS),Air Force -- Research Lab,,,05/11/2026,https://www.grants.gov/search-results-detail/FA865021S2205
Large Health Services Research Demonstration and Dissemination Projects for Combating Antibiotic-Resistant Bacteria (CARB)(R18),Large Health Services Research Demonstration and Dissemination Projects for Combating Antibiotic-Resistant Bacteria (CARB)(R18),Agency for Health Care Research and Quality,,,10/30/2026,https://www.grants.gov/search-results-detail/PA-22-048
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,,,,https://www.grants.gov/search-results-detail/EDA-DEN-TA-DRO-2021-2006850
2022 Alumni Engagement Innovation Fund (AEIF 2022),2022 Alumni Engagement Innovation Fund (AEIF 2022),U.S. Mission to North Macedonia,,,,https://www.grants.gov/search-results-detail/SMK800-22-PAS002
Facilities for Atmospheric Research and Education,Facilities for Atmospheric Research and Education,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-22-1529
