title,description,agency,eligibility,amount,deadline,url
AHRQ Patient-Centered Outcomes Research (PCOR) Mentored Clinical Scientist Career Development Award (K08),AHRQ Patient-Centered Outcomes Research (PCOR) Mentored Clinical Scientist Career Development Award (K08),Agency for Health Care Research and Quality,,,03/12/2026,https://www.grants.gov/search-results-detail/PA-22-050
AHRQ Mentored Clinical Scientist Research Career Development Award (K08),AHRQ Mentored Clinical Scientist Research Career Development Award (K08),Agency for Health Care Research and Quality,,,02/13/2027,https://www.grants.gov/search-results-detail/PA-22-232
Commercial Fishing Occupational Safety Training Project Grants (T03),Commercial Fishing Occupational Safety Training Project Grants (T03),Centers for Disease Control and Prevention - ERA,,,01/31/2028,https://www.grants.gov/search-results-detail/RFA-OH-22-006
ANNUAL PROGRAM STATEMENT - PUBLIC AFFAIRS ITALY,ANNUAL PROGRAM STATEMENT - PUBLIC AFFAIRS ITALY,U.S. Mission to Italy,,,,https://www.grants.gov/search-results-detail/ROMENOFO002DOSEUR
Mission Spain Public Diplomacy 2022 Annual Program Statement,Mission Spain Public Diplomacy 2022 Annual Program Statement,U.S. Mission to Spain,,,,https://www.grants.gov/search-results-detail/ESP22APS
AHRQ Conference Grant Programs (R13),AHRQ Conference Grant Programs (R13),Agency for Health Care Research and Quality,,,10/31/2026,https://www.grants.gov/search-results-detail/PA-22-238
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,,,,https://www.grants.gov/search-results-detail/EDA-AUS-TA-AURO-2021-2006848
Chicago FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Chicago FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,,,,https://www.grants.gov/search-results-detail/EDA-CHI-TA-CRO-2021-2006849
Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Required),Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Required),National Institutes of Health,,,01/07/2027,https://www.grants.gov/search-results-detail/PAR-24-214
Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional),Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional),National Institutes of Health,,,05/18/2026,https://www.grants.gov/search-results-detail/PAR-24-210
Calendar Year 2022 Disaster Water Grants,Calendar Year 2022 Disaster Water Grants,Rural Utilities Service,,,,https://www.grants.gov/search-results-detail/RD-RUS-CY22DISASTER
D-START: Data Science Track Award for Research Transition (D/START) (R03-Clinical Trial Optional),D-START: Data Science Track Award for Research Transition (D/START) (R03-Clinical Trial Optional),National Institutes of Health,,,09/07/2027,https://www.grants.gov/search-results-detail/PAS-25-236
"Communications, Circuits, and Sensing-Systems","Communications, Circuits, and Sensing-Systems",U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-18-7564
AHRQ Small Research Projects to Advance the Science of Primary Care (R03),AHRQ Small Research Projects to Advance the Science of Primary Care (R03),Agency for Health Care Research and Quality,,,03/19/2027,https://www.grants.gov/search-results-detail/PA-23-115
Development of Research-based Educational Outreach Materials,Development of Research-based Educational Outreach Materials,NCA Contracting,,,,https://www.grants.gov/search-results-detail/36C78621R0028
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),Centers for Disease Control and Prevention - ERA,,,01/31/2028,https://www.grants.gov/search-results-detail/RFA-OH-22-005
Philadelphia FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Philadelphia FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,,,,https://www.grants.gov/search-results-detail/EDA-PHI-TA-PRO-2021-2006851
Research in the Formation of Engineers,Research in the Formation of Engineers,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-24-1340
Leading Edge Acceleration Projects (LEAP) in Health Information Technology,Leading Edge Acceleration Projects (LEAP) in Health Information Technology,Office of the National Coordinator,,,09/30/2027,https://www.grants.gov/search-results-detail/NAP-AX-22-001
SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS),SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS),Advanced Research Projects Agency Energy ,,,09/30/2029,https://www.grants.gov/search-results-detail/DE-FOA-0003164
Low-Cost Chip-Scale Atomic Clock (LC CSAC),Low-Cost Chip-Scale Atomic Clock (LC CSAC),Dept of the Army -- Materiel Command,,,,https://www.grants.gov/search-results-detail/W911NF-17-S-0003-SPECIALNOTICE-LC-CSAC
NIST MEP Disaster Assessment Program,NIST MEP Disaster Assessment Program,National Institute of Standards and Technology,,,,https://www.grants.gov/search-results-detail/2020-NIST-MEP-MDAP-01
Tactical Behaviors for Autonomous Maneuver,Tactical Behaviors for Autonomous Maneuver,Dept of the Army -- Materiel Command,,,,https://www.grants.gov/search-results-detail/W911NF-22-S-0011
FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) Announcement Type: Initial,FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) Announcement Type: Initial,DOC NOAA - ERA Production,,,09/30/2026,https://www.grants.gov/search-results-detail/NOAA-NOS-MB-27779
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH,DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH,Dept of the Army -- Materiel Command,,,11/20/2027,https://www.grants.gov/search-results-detail/W911NF-23-S-0001
"Electronics, Photonics and Magnetic Devices","Electronics, Photonics and Magnetic Devices",U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-18-1517
"U.S. Mission to the United Nations-Geneva, Small Grants Program","U.S. Mission to the United Nations-Geneva, Small Grants Program",U.S. Mission to the United Nations,,,,https://www.grants.gov/search-results-detail/GVA-SGP-2023-002
US Army Combat Capabilities Development Command (DEVCOM) Indo-Pacific Fundamental Research Collaboration Opportunities,US Army Combat Capabilities Development Command (DEVCOM) Indo-Pacific Fundamental Research Collaboration Opportunities,USAF 347 Contracting Squadron,,,08/30/2027,https://www.grants.gov/search-results-detail/FA520922S0001
DEVCOM ANALYSIS CENTER BROAD AGENCY ANNOUNCEMENT FOR APPLIED RESEARCH,DEVCOM ANALYSIS CENTER BROAD AGENCY ANNOUNCEMENT FOR APPLIED RESEARCH,Dept of the Army -- Materiel Command,,,01/04/2028,https://www.grants.gov/search-results-detail/W911NF-23-S-0003
Seattle FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Seattle FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance,Department of Commerce,,,,https://www.grants.gov/search-results-detail/EDA-SEA-TA-SRO-2021-2006853
Notice of Intent to Publish a Funding Opportunity Announcement for Morris K. Udall Discovery Centers without Walls (DCWoW) for Parkinson's Disease Research (RM1 - Clinical Trial Optional),Notice of Intent to Publish a Funding Opportunity Announcement for Morris K. Udall Discovery Centers without Walls (DCWoW) for Parkinson's Disease Research (RM1 - Clinical Trial Optional),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-NS-24-061
Forecast to Publish a Notice of Funding Opportunity for The Experimental Therapeutics Clinical Trials Network (ETCTN) Lead Academic Organizations (UM1 Clinical Trial Required),Forecast to Publish a Notice of Funding Opportunity for The Experimental Therapeutics Clinical Trials Network (ETCTN) Lead Academic Organizations (UM1 Clinical Trial Required),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-CA-25-089
Forecast to Renew the Funding Opportunity Announcement for Multiple Chronic Disease Research Centers Coordinating Center (U24 Clinical Trial Not Required),Forecast to Renew the Funding Opportunity Announcement for Multiple Chronic Disease Research Centers Coordinating Center (U24 Clinical Trial Not Required),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MD-25-005
Limited Competition: International epidemiology Databases to Evaluate AIDS (IeDEA) (U01 Clinical Trial Not Allowed),Limited Competition: International epidemiology Databases to Evaluate AIDS (IeDEA) (U01 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-AI-25-032
"Resource-based Centers for Bone, Muscle and Orthopaedic Research","Resource-based Centers for Bone, Muscle and Orthopaedic Research",National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-AR-26-004
Forecast for BRAIN Initiative Connectivity across Scales (BRAIN CONNECTS): Specialized Projects for Scalable Technologies (U01 Clinical Trial Not Allowed),Forecast for BRAIN Initiative Connectivity across Scales (BRAIN CONNECTS): Specialized Projects for Scalable Technologies (U01 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-NS-24-130
Forecast to Publish a Notice of Funding Opportunity Announcement for Addressing Determinants of Health Disparities Among Rural Populations (R01 - Clinical Trial Optional),Forecast to Publish a Notice of Funding Opportunity Announcement for Addressing Determinants of Health Disparities Among Rural Populations (R01 - Clinical Trial Optional),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MD-25-003
Forecast for NINDS Exploratory Grant Program in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Research (P20 - Clinical Trial Optional),Forecast for NINDS Exploratory Grant Program in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Research (P20 - Clinical Trial Optional),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NS-25-016
Forecast for NIH Blueprint and BRAIN Initiative ACTION Potential Program (F99/K00 Clinical Trial Not Allowed),Forecast for NIH Blueprint and BRAIN Initiative ACTION Potential Program (F99/K00 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NS-25-004
Resource-based Centers for Rheumatic Diseases Research,Resource-based Centers for Rheumatic Diseases Research,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-AR-26-003
Foundations for Digital Twins as Catalyzers of Biomedical Technological Innovation,Foundations for Digital Twins as Catalyzers of Biomedical Technological Innovation,U.S. National Science Foundation,,,05/04/2026,https://www.grants.gov/search-results-detail/24-561
International Research Experiences for Students,International Research Experiences for Students,U.S. National Science Foundation,,,10/26/2026,https://www.grants.gov/search-results-detail/24-506
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36),For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-RFA-OD-25-004
Small Business Translator: MedTech and Digital Health Technologies,Small Business Translator: MedTech and Digital Health Technologies,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NS-25-017
Forecast for HEAL Initiative: Non-addictive Analgesic Therapeutics Development [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Optional,Forecast for HEAL Initiative: Non-addictive Analgesic Therapeutics Development [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Optional,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NS-25-002
Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed),Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/TEMP-31337
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental Influences on Child Health Outcomes (ECHO) Program: Ruth L. Kirschstein NRSA Individual Postdoctoral Fellowship (F32),For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental Influences on Child Health Outcomes (ECHO) Program: Ruth L. Kirschstein NRSA Individual Postdoctoral Fellowship (F32),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-RFA-OD-25-005
NIAMS Skin Biology and Diseases Resource-based Center (P30 - Clinical Trial Not Allowed),NIAMS Skin Biology and Diseases Resource-based Center (P30 - Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-AR-26-005
NIH Science Education Partnership Award (SEPA),NIH Science Education Partnership Award (SEPA),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-GM-27-001
Large Research Projects for Prevention of Healthcare-Associated Infections (R01),Large Research Projects for Prevention of Healthcare-Associated Infections (R01),Agency for Health Care Research and Quality,,,10/30/2026,https://www.grants.gov/search-results-detail/PA-21-265
Large Health Services Research Demonstration and Dissemination Projects for Prevention of Healthcare-Associated Infections (R18),Large Health Services Research Demonstration and Dissemination Projects for Prevention of Healthcare-Associated Infections (R18),Agency for Health Care Research and Quality,,,10/30/2026,https://www.grants.gov/search-results-detail/PA-21-264
Optimizing Behavioral Sleep Interventions for Adolescents and Young Adults,Optimizing Behavioral Sleep Interventions for Adolescents and Young Adults,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MH-26-135
NIMH Biobehavioral Research Awards for Innovative New Scientists (NIMH BRAINS) (R01 Clinical Trial Optional),NIMH Biobehavioral Research Awards for Innovative New Scientists (NIMH BRAINS) (R01 Clinical Trial Optional),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MH-26-200
Advancing Nutrition-related Research Across the Lifespan,Advancing Nutrition-related Research Across the Lifespan,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NR-25-001
Leveraging Nursing Research to Advance Healthy School Environments for All,Leveraging Nursing Research to Advance Healthy School Environments for All,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NR-25-002
NINR Mentoring Resources and Activities,NINR Mentoring Resources and Activities,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NR-25-003
Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Research Bases (UG1 Clinical Trial Required),Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Research Bases (UG1 Clinical Trial Required),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-CA-25-042
"Cellular Senescence Network (SenNet): SenNet Data Coordination, Integration and Organizational Center (U24 or UM1)","Cellular Senescence Network (SenNet): SenNet Data Coordination, Integration and Organizational Center (U24 or UM1)",National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-RM-25-019
Cellular Senescence Network (SenNet):Technology Projects (UG3/UH3 Clinical Trial Not Allowed),Cellular Senescence Network (SenNet):Technology Projects (UG3/UH3 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-RM-25-018
Interrupting the Cycle of Violence Against Women Through Targeted Approaches: The We Care Initiative,Interrupting the Cycle of Violence Against Women Through Targeted Approaches: The We Care Initiative,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-NR-25-004
"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program","NSF Scholarships in Science, Technology, Engineering, and Mathematics Program",U.S. National Science Foundation,,,03/03/2026,https://www.grants.gov/search-results-detail/25-514
Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Community Sites (UG1 Clinical Trial Not Allowed),Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Community Sites (UG1 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-CA-25-043
Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Academic Community Sites (UG1 Clinical Trials Not Allowed),Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Academic Community Sites (UG1 Clinical Trials Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/NOT-CA-25-044
Intervention Research to Improve Native American Health (R34 Clinical Trial Optional),Intervention Research to Improve Native American Health (R34 Clinical Trial Optional),National Institutes of Health,,,01/07/2027,https://www.grants.gov/search-results-detail/PAR-25-378
Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 Clinical Trials Not Allowed),Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 Clinical Trials Not Allowed),National Institutes of Health,,,04/09/2027,https://www.grants.gov/search-results-detail/RFA-OD-25-003
FY2025 APS- Opioid and Substance Use Disorder Intervention,FY2025 APS- Opioid and Substance Use Disorder Intervention,Administration for Community Living,,,,https://www.grants.gov/search-results-detail/HHS-2025-ACL-AOA-EJIG-0048
Staff Research Program,Staff Research Program,Dept of the Army -- Materiel Command,,,06/02/2030,https://www.grants.gov/search-results-detail/W911NF25S0007
Marine Geology and Geophysics,Marine Geology and Geophysics,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-17-1620
U.S. Embassy Port Louis Public Diplomacy Small Grants Program,U.S. Embassy Port Louis Public Diplomacy Small Grants Program,U.S. Mission to Mauritius,,,,https://www.grants.gov/search-results-detail/DOS-PDS-PORTLOUIS-FY25-01
Forecast to Publish a Notice of Funding Opportunity for SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer-Relevant Technologies Toward Commercialization (R44 Clinical Trial Optional),Forecast to Publish a Notice of Funding Opportunity for SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer-Relevant Technologies Toward Commercialization (R44 Clinical Trial Optional),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-CA-25-086
NIAID Investigator Initiated Program Project Applications,NIAID Investigator Initiated Program Project Applications,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-AI-27-008
Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools,Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-PAR-25-420
Forecast to Publish a Funding Opportunity Announcement for Cancer Epidemiology Cohorts: Building the Next Generation of Research Cohorts (U01 Clinical Trial Not Allowed),Forecast to Publish a Funding Opportunity Announcement for Cancer Epidemiology Cohorts: Building the Next Generation of Research Cohorts (U01 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-CA-25-077
Forecast to Publish a Funding Opportunity Announcement for Research Opportunities in Cancer Epidemiology Cohort Studies (U01 Clinical Trial Not Allowed),Forecast to Publish a Funding Opportunity Announcement for Research Opportunities in Cancer Epidemiology Cohort Studies (U01 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-CA-25-076
Blueprint MedTech Translator (UG3/UH3 - Clinical Trial Optional),Blueprint MedTech Translator (UG3/UH3 - Clinical Trial Optional),National Institutes of Health,,,01/28/2028,https://www.grants.gov/search-results-detail/PAR-25-383
Development of Collaborative Research Facilities or Research-Resource Facilities (C06 Clinical Trial Not Allowed),Development of Collaborative Research Facilities or Research-Resource Facilities (C06 Clinical Trial Not Allowed),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/TEMP-31647
NIDCR Dual Degree Dentist Scientist Pathway to Independence Award (K99/R00 Clinical Trial Not Allowed),NIDCR Dual Degree Dentist Scientist Pathway to Independence Award (K99/R00 Clinical Trial Not Allowed),National Institutes of Health,,,05/07/2028,https://www.grants.gov/search-results-detail/PAR-25-333
Research on System Support and Tools for Provider Training and Quality Monitoring for Suicide Preventive Care,Research on System Support and Tools for Provider Training and Quality Monitoring for Suicide Preventive Care,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MH-26-145
Pilot Effectiveness Trials of Peer Support Services for Suicide Prevention,Pilot Effectiveness Trials of Peer Support Services for Suicide Prevention,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MH-26-160
"Mind, Machine and Motor Nexus","Mind, Machine and Motor Nexus",U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/PD-25-058Y
"Single Source: Accelerating Medicines Partnership&reg; Schizophrenia (AMP&reg; SCZ): Clinical Trial Data Processing, Analysis, and Coordination Center","Single Source: Accelerating Medicines Partnership&reg; Schizophrenia (AMP&reg; SCZ): Clinical Trial Data Processing, Analysis, and Coordination Center",National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MH-26-205
Measurement Science and Engineering (MSE) Research Grant Programs,Measurement Science and Engineering (MSE) Research Grant Programs,National Institute of Standards and Technology,,,,https://www.grants.gov/search-results-detail/2025-NIST-MSE-01
Tobacco Regulatory Science Small Grant Program for New Investigators (R03 Clinical Trial Optional),Tobacco Regulatory Science Small Grant Program for New Investigators (R03 Clinical Trial Optional),National Institutes of Health,,,07/14/2026,https://www.grants.gov/search-results-detail/RFA-OD-25-008
U.S. Embassy Libreville PDS Annual Program Statement,U.S. Embassy Libreville PDS Annual Program Statement,U.S. Mission to Gabon,,,,https://www.grants.gov/search-results-detail/DOS-PDS-LIBREVILLE-FY23-01
Resource and Capacity Building to Advance the Science of Aggression across Species and Disciplines (R24 Clinical Trial Optional),Resource and Capacity Building to Advance the Science of Aggression across Species and Disciplines (R24 Clinical Trial Optional),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/TEMP-31698
Innovations in Graduate Education (IGE) Program,Innovations in Graduate Education (IGE) Program,U.S. National Science Foundation,,,03/25/2026,https://www.grants.gov/search-results-detail/24-529
Forecast to Publish a Funding Opportunity Announcement for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Coordinating Center,Forecast to Publish a Funding Opportunity Announcement for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Coordinating Center,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MD-25-009
Notice of Intent to Publish a Forecast for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Research Sites,Notice of Intent to Publish a Forecast for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Research Sites,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-MD-25-008
Extracellular Vesicle Therapeutics for Regenerative Medicine (ExTReMe),Extracellular Vesicle Therapeutics for Regenerative Medicine (ExTReMe),National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-TR-27-002
Dementia Care and Caregiver Support Intervention Research - Stages II - V,Dementia Care and Caregiver Support Intervention Research - Stages II - V,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-TEMP-28924
Dementia Care and Caregiver Support Intervention Research - Stage I Only,Dementia Care and Caregiver Support Intervention Research - Stage I Only,National Institutes of Health,,,,https://www.grants.gov/search-results-detail/FOR-TEMP-28923
Annual Program Statement (APS) for Fiscal Year 2025,Annual Program Statement (APS) for Fiscal Year 2025,U.S. Mission to Tunisia,,,,https://www.grants.gov/search-results-detail/PAS-TUNIS-FY2025
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity,Defense Production Act Title III Expansion of Domestic Production Capability and Capacity,Air Force -- Research Lab,,,07/12/2026,https://www.grants.gov/search-results-detail/FA8650-19-S-5010
Annual Program Statement (APS),Annual Program Statement (APS),U.S. Mission to Greece,,,,https://www.grants.gov/search-results-detail/PDS-ATHENS-FY25-01
Major Research Instrumentation Program,Major Research Instrumentation Program,U.S. National Science Foundation,,,11/16/2026,https://www.grants.gov/search-results-detail/23-519
Structure and Physics of the Solid Earth,Structure and Physics of the Solid Earth,U.S. National Science Foundation,,,,https://www.grants.gov/search-results-detail/25-518
